;CO_TAZID,Index,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,SEC_HOME,CABIN,CONDO,HOTEL,AVGINCOME,Enrol_Elem
3001,1,96.5,287.6,2.98,32.8,1.2,3.1,28.5,51.2,0.7,0.5,2.2,0.9,0.4,25.3,0.8,2.1,0,0,12.6,5.8,0,0,0,0,64145,0
3002,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3003,3,1.1,3.1,2.89,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,1.3,0.1,0,0,0,0,64145,0
3004,4,3,11.7,3.86,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,64145,0
3005,5,1.1,3.1,2.89,51,3.4,35.7,11.9,87,2,1.5,32.4,3.3,1.1,2.8,2.3,5.8,35.2,0,0.7,0.1,0,0,0,0,64145,0
3006,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3007,7,5.9,18.8,3.19,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,64145,0
3008,8,3,7.4,2.51,0,0,0,0,15.8,0,0,0,0,0,0,0,0,15.6,0,0,0.2,0,0,0,0,64145,0
3009,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3010,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3011,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3012,12,3,8.5,2.85,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,64145,0
3013,13,197.8,559.6,2.83,51.5,17.7,7.5,26.2,144.6,1.9,15.8,3.3,4.2,0.6,21.4,1.2,3,0,37.6,43,12.5,0,0,0,0,64145,0
3014,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3015,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3016,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3017,17,7.1,29.5,4.15,4.9,0.4,3,1.5,5.9,0.2,0.2,2.7,0.3,0.1,0.3,0.3,0.7,0,0,0.7,0.4,0,0,0,0,64145,0
3018,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3019,19,6,26.2,4.37,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.7,0.3,0,0,0,0,64145,0
3020,20,0,0,0,519.1,2.8,506.6,9.7,519.1,1.6,1.2,451.6,55,0.9,2.3,1.8,4.7,0,0,0,0,0,0,0,0,64145,0
3021,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3022,22,0,0,0,63.3,0,63.3,0,63.3,0,0,63.3,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3023,23,4.1,12.8,3.1,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0.7,0.2,0,0,0,0,64145,0
3024,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3025,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3026,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3027,27,3.9,12.2,3.1,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,64145,0
3028,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3029,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3030,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3031,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3032,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3033,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3034,34,41.2,119.2,2.9,2.3,0,0,2.3,4.6,0,0,0,0,0,0,0,2.3,0,0,0,2.3,0,0,0,0,64145,0
3035,35,9,28.6,3.19,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0.7,0.5,0,0,0,0,64145,0
3036,36,16,31.4,1.96,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,1.3,0.9,0,0,0,0,64145,0
3037,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3038,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3039,39,12.8,44.6,3.47,0,0,0,0,17,0,0,0,0,0,0,0,0,15.6,0,0.7,0.7,0,0,0,0,64145,0
3040,40,31.5,98.6,3.13,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0.7,1.8,0,0,0,0,87119,0
3041,41,9.9,18.1,1.83,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,87119,0
3042,42,69.4,225,3.24,0,0,0,0,33.9,0,0,0,0,0,0,0,0,0,0,28.5,5.4,0,0,0,0,87119,0
3043,43,17.7,47.4,2.68,0,0,0,0,40.1,0,0,0,0,0,0,0,0,39.1,0,0,1,0,0,0,0,87119,0
3044,44,1.1,5.5,4.88,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0.7,0.1,0,0,0,0,87119,0
3045,45,1.1,5.5,4.88,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0.7,0.1,0,0,0,0,87119,0
3046,46,2.2,6.3,2.85,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0.7,0.1,0,0,0,0,87119,0
3047,47,189.7,591.9,3.12,66.6,2.3,18.8,45.5,116.9,1.3,1,4.3,14.4,0.7,39.3,1.5,4,0,0,38.4,11.9,0,0,0,0,87119,450
3048,48,24.6,87.2,3.54,19.9,0.8,2.1,17.1,65,0.5,0.3,1.5,0.6,0.2,0.6,0.5,15.7,43,0,0.7,1.4,0,0,0,0,87119,0
3049,49,24.5,64.9,2.65,4.7,0,0,4.7,6.1,0,0,0,0,0,0,0,4.7,0,0,0,1.4,0,0,0,0,87119,0
3050,50,14.1,79.8,5.68,2,0,0,2,4.1,0,0,0,0,2,0,0,0,0,0,1.3,0.8,0,0,0,0,87119,0
3051,51,10.9,19,1.74,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0.7,0.6,0,0,0,0,87119,0
3052,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87119,0
3053,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87119,0
3054,54,54,160.8,2.98,1.1,0,1.1,0,4.8,0,0,0,1.1,0,0,0,0,0,0,0.7,3,0,0,0,0,87119,0
