;CO_TAZID,Index,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,SEC_HOME,CABIN,CONDO,HOTEL,AVGINCOME,Enrol_Elem
3001,1,91.4,278.3,3.04,31.4,1,2.8,27.7,47.1,0.5,0.4,1.9,0.9,0.3,25.1,0.6,1.7,0,0,10.2,5.5,0,0,0,0,64145,0
3002,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3003,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3004,4,3,11.8,3.94,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,64145,0
3005,5,0,0,0,47.6,2.8,34.8,10,82.9,1.6,1.3,31.3,3.4,0.9,2.3,1.7,5,34.7,0,0.6,0,0,0,0,0,64145,0
3006,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3007,7,5.9,19.2,3.26,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,64145,0
3008,8,3,7.6,2.58,0,0,0,0,15.6,0,0,0,0,0,0,0,0,15.4,0,0,0.2,0,0,0,0,64145,0
3009,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3010,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3011,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3012,12,3,8.7,2.92,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,64145,0
3013,13,180.8,522.9,2.89,49.3,17.4,7.4,24.5,127.1,1.6,15.8,2.7,4.6,0.5,20.7,0.9,2.5,0,33.9,32.9,10.9,0,0,0,0,64145,0
3014,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3015,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3016,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3017,17,7,29.8,4.23,4.4,0.3,2.8,1.2,4.8,0.2,0.2,2.5,0.3,0.1,0.3,0.2,0.6,0,0,0,0.4,0,0,0,0,64145,0
3018,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3019,19,6,26.5,4.45,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,64145,0
3020,20,0,0,0,516.4,2.3,505.9,8.2,517,1.3,1,442.7,63.2,0.7,1.9,1.4,4.1,0,0,0.6,0,0,0,0,0,64145,0
3021,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3022,22,0,0,0,63.3,0,63.3,0,63.3,0,0,63.3,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3023,23,4.1,12.9,3.17,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,64145,0
3024,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3025,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3026,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3027,27,3.9,12.5,3.17,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,64145,0
3028,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3029,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3030,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3031,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3032,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3033,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3034,34,41.1,122.1,2.97,2.3,0,0,2.3,4.7,0,0,0,0,0,0,0,2.3,0,0,0,2.4,0,0,0,0,64145,0
3035,35,8.9,29.1,3.26,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,64145,0
3036,36,15.9,32.3,2.03,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,64145,0
3037,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3038,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3039,39,12.8,45.4,3.55,0,0,0,0,16.2,0,0,0,0,0,0,0,0,15.4,0,0,0.8,0,0,0,0,64145,0
3040,40,31.4,100.8,3.21,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,87119,0
3041,41,9.9,18.7,1.9,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,87119,0
3042,42,60.4,200.3,3.31,0,0,0,0,21.7,0,0,0,0,0,0,0,0,0,0,18,3.7,0,0,0,0,87119,0
3043,43,17.7,48.6,2.75,0,0,0,0,39.5,0,0,0,0,0,0,0,0,38.5,0,0,1,0,0,0,0,87119,0
3044,44,1.1,5.4,4.96,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,87119,0
3045,45,1.1,5.4,4.96,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,87119,0
3046,46,2.2,6.3,2.92,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,87119,0
3047,47,180.7,576.4,3.19,63.8,1.8,19.7,42.3,85.9,1,0.8,3.5,16.2,0.6,37.3,1.1,3.2,0,0,11.4,10.7,0,0,0,0,87119,450
3048,48,24.6,88.8,3.61,19.3,0.7,1.9,16.7,63,0.4,0.3,1.3,0.6,0.2,0.6,0.4,15.5,42.4,0,0,1.4,0,0,0,0,87119,0
